"Conference","Division","Count"
"Allegheny Mountain Collegiate Conference","III",10
"America East Conference","I",8
"America East Conference","II",1
"American Athletic Conference","I",11
"American Southwest Conference","III",13
"ASUN Conference","I",8
"Atlantic 10 Conference","I",14
"Atlantic Coast Conference","I",15
"Big 12 Conference","I",10
"Big East Conference","I",10
"Big Sky Conference","I",12
"Big South Conference","I",10
"Big Ten Conference","I",14
"Big West Conference","I",9
"California Collegiate Athletic Association","II",13
"Capital Athletic Conference Inc.","III",10
"Centennial Conference","III",11
"Central Atlantic Collegiate Conference","II",14
"Central Intercollegiate Athletic Association","II",12
"City University of New York Athletic Conference","III",9
"College Conference of Illinois & Wisconsin","III",9
"Colonial Athletic Association","I",10
"Colonial States Athletic Conference","III",12
"Commonwealth Coast Conference","III",10
"Conference Carolinas","II",12
"Conference USA","I",14
"East Coast Conference","II",10
"Eastern College Athletic Conference","III",2
"Empire 8","III",9
"Great American Conference","II",12
"Great Lakes Intercollegiate Athletic Conference","II",17
"Great Lakes Valley Conference","II",16
"Great Midwest Athletic Conference","II",8
"Great Northeast Athletic Conference","III",12
"Great Northwest Athletic Conference","II",11
"Gulf South Conference","II",12
"Heartland Collegiate Athletic Conference","III",10
"Heartland Conference","II",10
"Horizon League","I",10
"Independent","II",8
"Independent","III",13
"Iowa Intercol. Athletic Conf.","III",9
"Landmark Conference","III",8
"Liberty League","III",9
"Little East Conference","III",8
"Lone Star Conference","II",11
"Massachusetts State Collegiate Athletic Conference","III",8
"Metro Atlantic Athletic Conference","I",11
"Michigan Intercol. Ath. Assn.","III",9
"Mid-America Intercollegiate Athletics Association","II",14
"Mid-American Conference","I",12
"Mid-Eastern Athletic Conf.","I",13
"Middle Atlantic Conferences","III",17
"Midwest Conference","III",10
"Minnesota Intercollegiate Athletic Conference","III",13
"Missouri Valley Conference","I",10
"Mountain East Conference","II",12
"Mountain West Conference","I",11
"New England Collegiate Conference","III",10
"New England Small College Athletic Conference","III",11
"New England Women's and Men's Athletic Conference","III",11
"New Jersey Athletic Conference","III",10
"North Atlantic Conference","III",10
"North Coast Athletic Conference","III",10
"North Eastern Athletic Conference","III",14
"Northeast Conference","I",10
"Northeast-10 Conference","II",15
"Northern Athletics Collegiate Conference","III",12
"Northern Sun Intercollegiate Conference","II",16
"Northwest Conference","III",9
"Ohio Athletic Conference","III",10
"Ohio Valley Conference","I",12
"Old Dominion Athletic Conf.","III",14
"Pac-12 Conference","I",12
"Pacific West Conference","II",15
"Patriot League","I",10
"Peach Belt Conference","II",14
"Pennsylvania State Athletic Conference","II",18
"Presidents' Athletic Conference","III",10
"Rocky Mountain Athletic Conference","II",15
"Skyline Conference","III",12
"South Atlantic Conference","II",12
"Southeastern Conference","I",14
"Southern Athletic Association","III",8
"Southern California Intercollegiate Athletic Conf.","III",9
"Southern Collegiate Athletic Conference","III",8
"Southern Conference","I",10
"Southern Intercol. Ath. Conf.","II",14
"Southland Conference","I",11
"Southland Conference","II",2
"Southwestern Athletic Conf.","I",10
"St. Louis Intercollegiate Athletic Conference","III",10
"State University of New York Athletic Conference","III",10
"Sun Belt Conference","I",12
"Sunshine State Conference","II",10
"The Ivy League","I",8
"The Summit League","I",9
"University Athletic Association","III",8
"Upper Midwest Athletic Conference","III",9
"USA South Athletic Conference","III",14
"West Coast Conference","I",10
"Western Athletic Conference","I",7
"Western Athletic Conference","II",1
"Wisconsin Intercollegiate Athletic Conference","III",8
